,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Phyteuma persicifolium,Phyteuma,persicifolium,"26,35",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tri,-,-,echinate,striato,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Phyteuma scorzonerifolium,Phyteuma,scorzonerifolium,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tri,-,-,echinate,striato,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Phyteuma sieberi,Phyteuma,sieberi,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,-,-,echinate,striato,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Phyteuma spicatum,Phyteuma,spicatum,"31,35",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tri,-,-,echinate,striato,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Phytolacca acinosa,Phytolacca,acinosa,"21,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Caryophyllales,Phytolaccaceae
Phytolacca americana,Phytolacca,americana,"21,30",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Phytolaccaceae
Phytolacca rivinoides,Phytolacca,rivinoides,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Phytolaccaceae
Phytolacca rugosa,Phytolacca,rugosa,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Phytolaccaceae
Picea abies,Picea,abies,"9,101",monad,saccate,-,heteropolar,oblate,elliptic,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,psilate,verrucate,-,-,Gymnospermae,Pinales,Pinaceae
Picea pungens,Picea,pungens,"101,101",monad,saccate,-,heteropolar,oblate,elliptic,-,leptoma,-,-,-,viscin threads,-,-,-,-,perforate,-,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Picris hiracioides,Picris,hiracioides,"21,25",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Pieris japonica,Pieris,japonica,"41,50",tetrad,tetrad,-,heteropolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Pilea cadierei,Pilea,cadierei,"10,25",monad,porate,-,isopolar,oblate,elliptic,-,porus,operculum, annulus,-,viscin threads,ubisch bodies,di,-,-,-,-,-,-,-,-,-,Angiospermae,Rosales,Urticaceae
Pilea glaucophylla,Pilea,glaucophylla,"10,25",monad,porate,-,isopolar,oblate,elliptic,-,porus,annulus,-,-,viscin threads,ubisch bodies,di,-,-,-,-,-,-,-,-,-,Angiospermae,Rosales,Urticaceae
Pilocereus strausii,Pilocereus,strausii,"51,100",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Pimpinella alpina,Pimpinella,alpina,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,rugulate,perforate,-,-,-,-,-,Angiospermae,Apiales,Apiaceae
Pimpinella major,Pimpinella,major,"11,30",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Pimpinella peregrina,Pimpinella,peregrina,"11,25",monad,colporate,dyad,isopolar,prolate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Pimpinella saxifraga,Pimpinella,saxifraga,"11,30",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Pinellia ternata,Pinellia,ternata,"10,25",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,echinate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Pinguicula alpina,Pinguicula,alpina,"26,35",monad,,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,panto,stephano,-,scabrate,verrucate,gemmate,reticulate,-,-,-,Angiospermae,Lamiales,Lentibulariaceae
Pinguicula ehlersiae,Pinguicula,ehlersiae,"26,50",monad,,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,hexa,stephano,-,reticulate,rugulate,perforate,-,-,-,-,Angiospermae,Lamiales,Lentibulariaceae
Pinguicula esseriana,Pinguicula,esseriana,"26,50",monad,,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,panto,stephano,-,perforate,-,-,-,-,-,-,Angiospermae,Lamiales,Lentibulariaceae
Pinguicula moranensis,Pinguicula,moranensis,"26,50",monad,colporate,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,panto,stephano,-,fossulate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Lentibulariaceae
Pinguicula primuliflora,Pinguicula,primuliflora,"26,50",monad,,-,isopolar,oblate,polygonal,-,colporus,-,-,-,viscin threads,-,stephano,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Lentibulariaceae
Pinguicula vulgaris,Pinguicula,vulgaris,"21,35",monad,,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,panto,stephano,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Lentibulariaceae
Pinus brutia,Pinus,brutia,"41,100",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus cembra,Pinus,cembra,"51,100",monad,saccate,-,heteropolar,oblate,elliptic,-,leptoma,-,-,-,viscin threads,-,-,-,-,verrucate,perforate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus contorta,Pinus,contorta,"51,100",monad,saccate,-,heteropolar,-,-,bisaccate,leptoma,-,-,-,viscin threads,ubisch bodies,-,-,-,verrucate,perforate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus densiflora,Pinus,densiflora,"51,100",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,verrucate,perforate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus halepensis,Pinus,halepensis,"41,100",monad,saccate,-,heteropolar,oblate,-,saccate,colpus,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus heldreichii,Pinus,heldreichii,"51,100",monad,saccate,-,heteropolar,oblate,elliptic,-,leptoma,-,-,-,viscin threads,-,-,-,-,verrucate,perforate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus laricio,Pinus,laricio,"9,100",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus mugo,Pinus,mugo,"36,100",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,verrucate,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus nigra,Pinus,nigra,"41,100",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Gymnospermae,Pinales,Pinaceae
Pinus pinea,Pinus,pinea,"31,100",monad,saccate,-,heteropolar,-,elliptic,irregular,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus ponderosa,Pinus,ponderosa,"51,100",monad,-,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,-,-,-,-,-,-,-,Spermatophyta,Pinales,Pinaceae
Pinus strobus,Pinus,strobus,"101,101",monad,saccate,-,heteropolar,oblate,elliptic,-,leptoma,-,-,-,viscin threads,ubisch bodies,-,-,-,verrucate,perforate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinus sylvestris,Pinus,sylvestris,"31,100",monad,saccate,-,heteropolar,-,-,saccate,leptoma,-,-,-,viscin threads,ubisch bodies,-,-,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Gymnospermae,Pinales,Pinaceae
Pinus wallichiana,Pinus,wallichiana,"36,100",monad,saccate,-,heteropolar,-,-,saccate,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Pinzona coriacea,Pinzona,coriacea,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,, margo,-,viscin threads,-,tri,-,-,perforate,free standing columellae,-,-,-,-,-,Angiospermae,Saxifragales,Dilleniaceae
Piper aduncum,Piper,aduncum,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper auritum,Piper,auritum,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,-,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper cernuum,Piper,cernuum,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,-,-,-,-,-,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper curtispicum,Piper,curtispicum,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper geniculatum,Piper,geniculatum,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,-,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper kadzura,Piper,kadzura,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper nigrum,Piper,nigrum,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,-,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Piper nudifolium,Piper,nudifolium,"10,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Piperales,Piperaceae
Pistacia lentiscus,Pistacia,lentiscus,"26,30",monad,colpate,-,-,-,circular,spheroidal,colpus,, brevicolpus,-,viscin threads,ubisch bodies,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Sapindales,Anacardiaceae
Pistacia terebinthus,Pistacia,terebinthus,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,, brevicolpus,-,viscin threads,ubisch bodies,tetra,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Sapindales,Anacardiaceae
Pistia stratiotes,Pistia,stratiotes,"26,50",monad,plicate,-,-,oblate,elliptic,-,inaperturate,-,-,-,viscin threads,-,in,-,-,-,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Pisum sativum,Pisum,sativum,"36,100",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Pitcairnia aequatorialis,Pitcairnia,aequatorialis,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia albiflos,Pitcairnia,albiflos,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia carinata,Pitcairnia,carinata,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia crassa,Pitcairnia,crassa,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia flammea,Pitcairnia,flammea,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia fuertesii,Pitcairnia,fuertesii,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia glauca,Pitcairnia,glauca,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia moritzianum,Pitcairnia,moritzianum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia nortefluminensis,Pitcairnia,nortefluminensis,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia odontopoda,Pitcairnia,odontopoda,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia rubronigriflora,Pitcairnia,rubronigriflora,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia tabuliformis,Pitcairnia,tabuliformis,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pitcairnia villetaensis,Pitcairnia,villetaensis,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Pithecellobium dulce,Pithecellobium,dulce,"51,100",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,psilate,fossulate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Pithecellobium saman,Pithecellobium,saman,"51,101",polyad,polyad,-,heteropolar,-,-,-,porus,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Pittosporum revolutum,Pittosporum,revolutum,"21,30",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Pittosporaceae
Pittosporum tobira,Pittosporum,tobira,"26,35",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Pittosporaceae
Pittosporum undulatum,Pittosporum,undulatum,"26,50",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Apiales,Pittosporaceae
Plagiorhegma dubium,Plagiorhegma,dubium,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,, margo,-,viscin threads,ubisch bodies,tri,-,-,striatoreticulate,-,-,-,-,-,-,Angiospermae,Ranunculales,Berberidaceae
Plantago altissima,Plantago,altissima,"21,25",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago arenaria,Plantago,arenaria,"26,30",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago argentea,Plantago,argentea,"21,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,operculum, annulus,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago atrata,Plantago,atrata,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,-,panto,panto,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago coronopus,Plantago,coronopus,"26,35",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago cylindrica,Plantago,cylindrica,"21,30",monad,porate,-,-,isodiametric,circular,spheroidal,porus,operculum, annulus,-,viscin threads,-,hexa,panto,-,verrucate,echinate,-,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago holosteum,Plantago,holosteum,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,,-,-,viscin threads,ubisch bodies,panto,panto,-,-,-,-,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago lagopus,Plantago,lagopus,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,operculum,annulus,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago lanceolata,Plantago,lanceolata,"21,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,operculum,annulus,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago major,Plantago,major,"16,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,hexa,panto,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago maritima,Plantago,maritima,"26,30",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,annulus,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago media,Plantago,media,"21,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,verrucate,perforate,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago reniformis,Plantago,reniformis,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,,-,-,viscin threads,ubisch bodies,panto,panto,-,verrucate,-,-,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Plantago serpentina,Plantago,serpentina,"31,35",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Lamiales,Plantaginaceae
Platanthera bifolia,Platanthera,bifolia,"101,101",massula,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Platanthera chlorantha,Platanthera,chlorantha,"101,101",massula,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Platanus acerifolia,Platanus,acerifolia,"16,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Proteales,Platanaceae
Platanus hispanica,Platanus,hispanica,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Proteales,Platanaceae
Platycapnos tenuilobus,Platycapnos,tenuilobus,"51,100",monad,clypeate,-,isopolar,-,circular,spheroidal,-,-,-,-,viscin threads,-,panto,-,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Ranunculales,Papaveraceae
Platycodon grandiflorum,Platycodon,grandiflorum,"26,50",monad,colpate,-,isopolar,oblate,polygonal,-,colpus,brevicolpus,-,-,viscin threads,-,hexa,stephano,-,sato,-,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Platycodon grandiflorus,Platycodon,grandiflorus,"36,100",monad,colpate,-,isopolar,oblate,polygonal,-,colpus,brevicolpus,-,-,viscin threads,-,penta,stephano,-,scabrate,echinate,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Plectranthus caninus,Plectranthus,caninus,"51,100",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,hexa,stephano,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Plectranthus ernstii,Plectranthus,ernstii,"26,50",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,hexa,stephano,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Plectranthus ornatus,Plectranthus,ornatus,"51,100",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,hexa,stephano,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Plectrophora cultrifolia,Plectrophora,cultrifolia,"101,101",pollinium,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Pleiospilos compactus,Pleiospilos,compactus,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Aizoaceae
Pleiospilos leipoldtii,Pleiospilos,leipoldtii,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Aizoaceae
Pleiospilos magnipunctatus,Pleiospilos,magnipunctatus,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Aizoaceae
Pleuropetalum sprucei,Pleuropetalum,sprucei,"10,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Pleurothallis loranthophylla,Pleurothallis,loranthophylla,"101,101",pollinium,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,-,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Plicosepalus acaciae,Plicosepalus,acaciae,"11,30",monad,,colpate,isopolar,oblate,angular,angular star,colpus,-,-,-,viscin threads,-,,syn,-,verrucate,-,-,-,-,-,-,Angiospermae,Santanales,Loranthaceae
Plumbago auriculata,Plumbago,auriculata,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,clavate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Plumbago indica,Plumbago,indica,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,clavate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Plumeria alba,Plumeria,alba,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Gentianales,Apocynaceae
Poa alpina,Poa,alpina,"31,40",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum,-,-,viscin threads,-,-,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Poa angustifolia,Poa,angustifolia,"26,50",monad,ulcerate,-,heteropolar,prolate,circular,-,ulcus,annulus, operculum,-,viscin threads,ubisch bodies,-,-,-,scabrate,areolate,-,-,-,-,-,Angiospermae,Poales,Poaceae
Poa annua,Poa,annua,"10,25",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,areolate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Poa compressa,Poa,compressa,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum,-,-,viscin threads,ubisch bodies,-,-,-,areolate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Poa minor,Poa,minor,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,areolate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Podandrogyne decipiens,Podandrogyne,decipiens,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Brassicales,Cleomaceae
Podolasia stipitata,Podolasia,stipitata,-,monad,sulcate,-,-,-,-,-,sulcus,-,-,-,viscin threads,-,-,-,-,-,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Podophyllum peltatum,Podophyllum,peltatum,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Ranunculales,Berberidaceae
Poikilacanthus macranthus,Poikilacanthus,macranthus,"51,100",monad,porate,-,isopolar,prolate,circular,-,porus,-,-,-,viscin threads,-,penta,stephano,-,areolate,free standing columellae,reticulate,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Polemonium caeruleum,Polemonium,caeruleum,"41,50",monad,porate,-,isopolar,isodiamec,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,rugulate,sate,satoreticulate,-,-,-,-,Angiospermae,Ericales,Polemoniaceae
