,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Leptarrhena pyrolifolia,Leptarrhena,pyrolifolia,"11,20",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Saxifragales,Saxifragaceae
Leptocladia microhelia,Leptocladia,microhelia,"26,50",monad,colpate,-,-,-,circular,spheroidal,colpus,, pantoaperturate,-,viscin threads,-,hexa,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Leptopus chinensis,Leptopus,chinensis,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Malpighiales,Phyllanthaceae
Leptopyrum fumarioides,Leptopyrum,fumarioides,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Lesquerella arctica,Lesquerella,arctica,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Leucadendron brunioides,Leucadendron,brunioides,"26,50",monad,porate,-,isopolar,oblate,triangular,-,porus,angulaperturate,-,-,viscin threads,-,tri,-,-,verrucate,fossulate,perforate,-,-,-,-,Angiospermae,Proteales,Proteaceae
Leucadendron discolor,Leucadendron,discolor,"26,50",monad,porate,-,isopolar,oblate,triangular,-,porus,angulaperturate,-,-,viscin threads,-,tri,-,-,rugulate,perforate,-,-,-,-,-,Angiospermae,Proteales,Proteaceae
Leucaena leucocephala,Leucaena,leucocephala,"51,100",monad,,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,,-,-,perforate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Leucanthemopsis alpina,Leucanthemopsis,alpina,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leucanthemum gaudinii,Leucanthemum,gaudinii,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leucanthemum ircutianum,Leucanthemum,ircutianum,"26,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,echinate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leucanthemum virgatum,Leucanthemum,virgatum,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leucanthemum vulgare,Leucanthemum,vulgare,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,echinate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leucheria purpurea,Leucheria,purpurea,"21,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leuchtenbergia principis,Leuchtenbergia,principis,"51,100",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,foveolate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Leucojum aestivum,Leucojum,aestivum,"21,30",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Amaryllidaceae
Leucojum vernum,Leucojum,vernum,"26,35",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Amaryllidaceae
Leucopoa pulchella,Leucopoa,pulchella,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum,-,-,viscin threads,ubisch bodies,-,-,-,-,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Levisticum officinale,Levisticum,officinale,"11,30",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Liatris graminifolia,Liatris,graminifolia,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Liatris spicata,Liatris,spicata,"16,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Libertia chilensis,Libertia,chilensis,"21,30",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Iridaceae
Ligularia przewalskii,Ligularia,przewalskii,"31,35",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Ligularia wilsoniana,Ligularia,wilsoniana,"31,40",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Ligustrum vulgare,Ligustrum,vulgare,"26,35",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Oleaceae
Lilium bosniacum,Lilium,bosniacum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium bulbiferum,Lilium,bulbiferum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium candidum,Lilium,candidum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium carniolicum,Lilium,carniolicum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
