,img_h,error,Clump,Misread,Area,Perimeter,Solidity,Major_axis_length,Minor_axis_length,Equivalent_diameter,Eccentricity,Extent,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Correlation,Bounding_box,Entropy
Acourtia hooveri1-1,972,1,0,1,1634,185.6223664,0.957796014,80.72085149,26.28375723,45.61220688,0.945503139,0.464336459,376.3697983,5.737069073,0.617106229,0.259085815,0.508962439,0.817539382,"(730, 641, 799, 692)",3.919752449
Actaea spicata1-1,972,0,0,0,41295,773.8965363,0.989315062,252.7231896,208.4612094,229.2998626,0.565337286,0.793280314,115.4956747,4.792168022,0.374234699,0.039582321,0.198941029,0.979664446,"(17, 105, 258, 321)",6.454090488
Actaea spicata1-1,972,0,0,0,39301,748.8670991,0.989575727,234.1775844,213.9510515,223.6953002,0.406552606,0.774892543,125.1626509,5.0949549,0.378763083,0.047152008,0.217134703,0.980805274,"(37, 442, 274, 656)",6.389111899
Actaea spicata1-1,972,1,0,1,1373,172.2314934,0.818235995,67.24290276,29.49333598,41.81097816,0.898678045,0.476736111,821.6557609,9.939797827,0.55824673,0.218578044,0.467455548,0.9432792,"(79, 1143, 127, 1203)",4.269987935
Actaea spicata1-1,972,0,0,0,44442,798.6072145,0.987753651,249.0132798,227.5833943,237.8766736,0.405847543,0.757439411,85.21763848,4.285787596,0.421320047,0.055304078,0.235159646,0.987126195,"(285, 761, 516, 1015)",6.235590336
Actaea spicata1-1,972,0,0,0,37363,741.6538957,0.983599221,228.9512762,208.4978023,218.1101765,0.41314664,0.780999164,110.3894262,4.786585698,0.390494234,0.044366352,0.21062043,0.981807053,"(408, 1082, 638, 1290)",6.409324677
Actaea spicata1-1,972,1,0,1,2804,217.882251,0.971923744,85.95524344,42.645312,59.75084672,0.868246009,0.778888889,412.2141256,6.407616963,0.458404534,0.038650506,0.196254913,0.786067844,"(639, 430, 684, 510)",5.544040759
Actaea spicata1-1,972,0,0,0,41479,949.6133111,0.956001659,238.3089615,223.4701524,229.8101457,0.34735719,0.741623458,179.9525305,5.885878642,0.386318809,0.061302621,0.247582307,0.97498092,"(720, 344, 955, 582)",6.216552226
Actaea spicata1-1,972,1,0,1,1521,178.2081528,0.959621451,78.55363686,25.15449747,44.00678752,0.947342984,0.460909091,252.1635051,5.064533752,0.617211795,0.265303905,0.515032337,0.833775888,"(732, 642, 798, 692)",3.787039176
Actaea spicata1-1,972,1,0,1,5542,285.6223664,0.981406056,93.09574666,76.68069962,84.00174734,0.567061217,0.770899986,316.6572951,4.82170941,0.556712415,0.047483169,0.217819276,0.834100899,"(772, 53, 851, 144)",5.522412812
Adansonia digitata1-1,972,0,0,0,460117,3534.011506,0.943108145,772.3163302,760.5325913,765.4013062,0.174018738,0.72454806,60.16013676,1.02358047,0.801138991,0.080298273,0.283362982,0.969814749,"(23, 455, 833, 1239)",5.029438731
Adenia poggei1-1,972,0,0,0,77908,1047.803174,0.99501903,324.0268686,306.4174808,314.9532449,0.325173004,0.790374451,54.97888391,1.679681662,0.629981641,0.044688181,0.211380715,0.974225384,"(517, 257, 826, 576)",5.01397561
Adenia poggei1-1,972,0,0,0,80758,1083.844805,0.985454545,328.6683598,313.385494,320.6622509,0.301390966,0.764833458,159.0445341,2.820539224,0.537547523,0.053903928,0.232164446,0.976401616,"(577, 792, 896, 1123)",5.347039432
Adenia poggei1-2,972,1,1,0,119301,1754.167748,0.852119567,652.1572153,269.1036112,389.741903,0.910895959,0.735880829,104.3056782,1.851030428,0.65987186,0.066820752,0.258486309,0.96637584,"(311, 41, 591, 620)",4.83089473
Adenia poggei1-2,972,0,0,0,70028,1000.832611,0.992389995,317.7246264,281.0787502,298.6007683,0.466233846,0.777311577,116.1345834,1.823819189,0.672566119,0.04821078,0.219547316,0.965243411,"(580, 186, 895, 472)",4.775567526
Adenocarpus foliolosus1-1,972,0,0,0,6757,310.1076477,0.984554859,97.11024544,89.15225878,92.75386571,0.396459903,0.79983428,571.9893715,7.186957426,0.379002669,0.033053285,0.1817266,0.941491269,"(31, 938, 119, 1034)",5.977503382
Adenocarpus foliolosus1-1,972,1,0,1,1959,255.0365799,0.741483724,100.7468381,33.17910129,49.94272988,0.944214384,0.345502646,1128.154695,6.909460489,0.724994227,0.403854889,0.635469167,0.935771164,"(154, 565, 217, 655)",3.007492499
Adenocarpus foliolosus1-1,972,0,0,0,6674,305.5634919,0.989473684,102.8901298,82.6498239,92.18243174,0.595598428,0.768362883,519.7691562,7.286393068,0.376242976,0.045437856,0.213106509,0.952426632,"(168, 934, 269, 1020)",5.929369795
Adenocarpus foliolosus1-1,972,1,1,0,36374,1251.685425,0.692323798,375.9522064,172.8332696,215.2041245,0.8880632,0.478290598,357.3927579,5.339012134,0.592818106,0.260728519,0.510612097,0.971034228,"(342, 868, 680, 1093)",4.399320464
Adenocarpus foliolosus1-1,972,0,0,0,7155,316.6345597,0.98553719,95.87491025,95.3012523,95.44647161,0.109229113,0.76044213,495.496605,7.037844873,0.407079778,0.049137378,0.221620865,0.95648899,"(445, 601, 542, 698)",5.880948756
Adenocarpus foliolosus1-1,972,1,0,1,1992,198.6101731,0.872154116,66.33758052,41.56864859,50.36162401,0.779322599,0.625235405,1913.117209,13.33191807,0.468919429,0.108089987,0.328659272,0.903138687,"(610, 161, 664, 220)",4.744024869
Adenocarpus foliolosus1-1,972,0,0,0,7153,318.6345597,0.983500619,99.97780444,91.45211163,95.43313085,0.404078878,0.752630471,471.3515874,6.110267539,0.435699637,0.053257201,0.230735488,0.962495966,"(713, 1049, 812, 1145)",5.932944446
Adenocarpus foliolosus1-1,972,1,0,1,3260,355.4213562,0.79164643,80.50998695,63.71250623,64.42639922,0.611348455,0.544786096,1265.780704,11.65943242,0.502831272,0.182696093,0.427370658,0.936208168,"(777, 523, 845, 611)",4.655961094
Adenocarpus foliolosus1-1,972,1,0,1,1943,222.1665222,0.773487261,78.63166597,40.76691707,49.7383598,0.855105402,0.591836735,1668.757416,14.0291247,0.417161138,0.097307372,0.311849658,0.914093467,"(797, 630, 864, 679)",5.216176739
Adenocarpus viscosus1-1,972,1,0,1,1685,195.4802307,0.894373673,67.58587072,34.73483331,46.31855603,0.857828342,0.534920635,1549.594756,9.019869699,0.649333141,0.182162545,0.426739154,0.915590398,"(187, 436, 257, 481)",3.552139441
Adenocarpus viscosus1-1,972,0,0,0,6163,301.6639969,0.96948246,89.36103585,88.47684226,88.5831548,0.140325831,0.744323671,379.3623216,8.52138464,0.347234134,0.055686928,0.235929241,0.945201213,"(448, 654, 538, 746)",5.909549755
Adenopodia scelerata1-1,972,0,0,0,116827,1319.366666,0.990546201,457.1890799,326.0086215,385.6796032,0.701091054,0.751424676,99.78811293,2.311439927,0.559551052,0.060750689,0.246471401,0.958053842,"(359, 420, 741, 827)",5.35602394
Adenopodia scelerata1-2,972,0,0,0,124429,1405.207286,0.98577144,510.0273367,311.1410423,398.0300533,0.792364633,0.744517642,121.1963948,2.322476307,0.577907396,0.064446576,0.253857215,0.949517287,"(263, 480, 756, 819)",5.370560192
Adenopodia scelerata1-3,972,0,0,0,87995,1204.094588,0.987321178,461.3510506,243.1725604,334.7218453,0.849810765,0.647312397,178.663386,2.801984044,0.579321433,0.120972522,0.347808319,0.962589203,"(368, 493, 769, 832)",5.237892663
Adenostyles alliariae1-1,972,0,0,0,45789,1000.868145,0.903189538,244.3936334,240.024014,241.4546863,0.188252997,0.679987526,127.2774943,2.835025898,0.558915089,0.097978707,0.313008476,0.95921303,"(347, 150, 605, 411)",5.152703623
Adenostyles alliariae1-1,972,0,0,0,43307,951.7199128,0.916705474,237.7415132,233.3810428,234.8194731,0.190646396,0.721494735,124.2863573,3.040977022,0.526045043,0.073552934,0.271196752,0.967321388,"(370, 414, 614, 660)",5.594512434
Adenostyles alliariae1-1,972,0,0,0,48403,1113.844805,0.869150655,257.6511895,245.1131011,248.2511101,0.308152521,0.659216888,135.1009363,2.852578998,0.575520486,0.111293365,0.333600501,0.958494093,"(484, 921, 751, 1196)",5.152546775
Adenostyles alliariae1-1,972,1,0,1,1431,173.9655121,0.966239028,77.22506821,24.00278212,42.68495975,0.950470121,0.456313776,364.140137,5.765407762,0.614620673,0.269422481,0.519008976,0.824220659,"(733, 642, 797, 691)",3.807274911
Adenostyles alpina1-1,972,0,0,0,97116,1550.911868,0.879434936,365.6589058,343.9690831,351.641766,0.339286996,0.682617558,185.5472333,4.51864741,0.462056966,0.095815408,0.309537095,0.976940568,"(256, 423, 666, 770)",5.754514543
Adenostyles alpina1-1,972,1,0,1,1725,187.2792206,0.956738769,82.1254369,27.29125652,46.86510658,0.943169565,0.469771242,455.6337239,6.233677674,0.604133885,0.253742338,0.50368802,0.813092718,"(731, 639, 799, 693)",4.032015108
Adiantum capillus-veneris1-1,972,1,0,1,1813,194.3675324,0.897080653,81.14053919,30.77997693,48.04563762,0.92525672,0.779784946,906.6342762,9.764565533,0.357966273,0.033332973,0.181961839,0.903587299,"(414, 711, 445, 786)",5.657334055
Adiantum capillus-veneris1-1,972,1,0,1,2499,201.8233765,0.953452881,75.83396939,42.63969111,56.40767343,0.826949007,0.651629726,362.414216,6.698334887,0.445701889,0.104140666,0.322641812,0.904686694,"(468, 288, 533, 347)",5.197513385
Adiantum capillus-veneris1-1,972,1,0,1,1452,192.8528137,0.783594172,66.94802712,33.47825821,42.99702105,0.865988795,0.585483871,1248.330078,8.790292877,0.661432079,0.141919826,0.376603804,0.879428797,"(847, 1084, 887, 1146)",4.054398584
Adiantum patens1-1,972,0,0,0,155917,1517.935208,0.993184149,461.4079985,439.1999518,445.5554849,0.306505273,0.765124153,159.1302285,3.458997266,0.490689347,0.053611238,0.231537425,0.986680111,"(215, 372, 675, 815)",6.099544022
Adiantum patens1-1,972,1,0,1,1587,181.0365799,0.964155529,80.3515534,25.65046562,44.9514311,0.947677943,0.464442493,434.6568497,6.264359353,0.605972094,0.262849628,0.512646915,0.830660269,"(731, 641, 798, 692)",3.978569604
Adiantum poiretii1-1,972,0,0,0,131977,1693.00523,0.964962821,452.0071428,380.6047021,409.9247924,0.539426805,0.74704667,251.9095154,2.373375841,0.630688525,0.062378962,0.249752223,0.97735307,"(334, 377, 779, 774)",5.961678592
